,car,price,specs
1509,BMW 3 SERIES,"£7,595","2012
•
86,000 miles
•
Diesel
•
Manual"
1510,BMW 4 Series,"£20,000","2015
•
28,000 miles
•
Diesel
•
Automatic"
1511,BMW 1 SERIES,"£9,295
 was £9,495","2013
•
42,000 miles
•
Petrol
•
Manual"
1512,BMW 3 SERIES,"£5,695","2010
•
76,000 miles
•
Petrol
•
Manual"
1513,BMW X3,"£16,495
 was £16,795","2013
•
63,000 miles
•
Diesel
•
Automatic"
1514,BMW 3 SERIES,"£7,999","2007
•
70,000 miles
•
Petrol
•
Automatic"
1515,BMW X1,"£6,599","2010
•
86,000 miles
•
Diesel
•
Manual"
1516,BMW 5 SERIES,"£5,899","2009
•
116,000 miles
•
Diesel
•
Manual"
1517,BMW 5 SERIES,"£4,699","2011
•
143,000 miles
•
Diesel
•
Manual"
1518,BMW X6,"£10,999","2009
•
108,800 miles
•
Diesel
•
Automatic"
1519,BMW 3 SERIES,"£5,950","2010
•
108,097 miles
•
Diesel
•
Manual"
1520,BMW 5 SERIES,"£5,499","2010
•
104,632 miles
•
Diesel
•
Manual"
1521,BMW 1 SERIES,"£5,299","2009
•
56,366 miles
•
Diesel
•
Automatic"
1522,BMW 1 SERIES,"£2,990","2010
•
99,859 miles
•
Diesel
•
Manual"
1523,BMW 3 Series,"£10,895
 was £10,995","2010
•
52,000 miles
•
Diesel
•
Automatic"
1524,BMW 3 Series,"£6,995","2008
•
119,596 miles
•
Diesel
•
Automatic"
1525,BMW X5,"£6,495","2007
•
129,960 miles
•
Diesel
•
Automatic"
1526,BMW 3 Series,"£5,295","2008
•
73,835 miles
•
Diesel
•
Automatic"
1527,BMW 3 Series,"£5,290
 was £5,500","2007
•
98,000 miles
•
Diesel
•
Automatic"
1528,BMW 5 Series,"£4,495","2008
•
101,200 miles
•
Diesel
•
Automatic"
1529,BMW 1 SERIES,"£4,495","2008
•
69,325 miles
•
Diesel
•
Manual"
1530,BMW 5 Series,"£2,690","2005
•
150,635 miles
•
Diesel
•
Manual"
1531,BMW Z4,"£11,995
 was £13,995","2013
•
74,297 miles
•
Petrol
•
Manual"
1532,BMW X1,"£25,500","2018
•
10,429 miles
•
Diesel
•
Automatic"
1533,BMW 2 Series,"£21,000","2019
•
26,789 miles
•
Diesel
•
Automatic"
1534,BMW 6 SERIES,"£5,995","2006
•
106,000 miles
•
Petrol
•
Automatic"
1535,BMW Z SERIES,"£3,995","2006
•
85,000 miles
•
Petrol
•
Manual"
1536,BMW 1 Series,"£1,995","2004
•
97,050 miles
•
Petrol
•
Manual"
1537,BMW 5 SERIES,"£20,990","2017
•
45,000 miles
•
Diesel
•
Automatic"
1538,BMW 4 SERIES,"£14,475","2014
•
50,000 miles
•
Diesel
•
Manual"
1539,BMW 4 SERIES,"£12,475","2013
•
75,000 miles
•
Diesel
•
Manual"
1540,BMW 7 SERIES,"£11,675","2011
•
80,000 miles
•
Diesel
•
Automatic"
1541,BMW 5 SERIES,"£10,790","2013
•
70,000 miles
•
Diesel
•
Automatic"
1542,BMW 3 SERIES,"£9,975","2012
•
60,000 miles
•
Diesel
•
Manual"
1543,BMW 3 SERIES,"£9,475","2012
•
50,000 miles
•
Diesel
•
Manual"
1544,BMW 5 SERIES,"£9,475","2012
•
80,000 miles
•
Diesel
•
Automatic"
1545,BMW 3 SERIES,"£9,375","2014
•
80,000 miles
•
Diesel
•
Manual"
1546,BMW 3 SERIES,"£9,275","2014
•
100,000 miles
•
Diesel
•
Automatic"
1547,BMW 5 SERIES,"£8,975","2011
•
69,000 miles
•
Diesel
•
Automatic"
1548,BMW 1 SERIES,"£8,575","2014
•
65,000 miles
•
Diesel
•
Manual"
1549,BMW 3 SERIES,"£8,575","2011
•
70,000 miles
•
Diesel
•
Automatic"
1550,BMW 1 SERIES,"£8,275","2013
•
54,000 miles
•
Diesel
•
Manual"
1551,BMW 5 SERIES,"£7,975","2011
•
75,000 miles
•
Diesel
•
Manual"
1552,BMW 1 SERIES,"£7,875","2013
•
75,000 miles
•
Petrol
•
Manual"
1553,BMW 1 SERIES,"£7,475","2012
•
50,000 miles
•
Petrol
•
Manual"
1554,BMW 3 SERIES,"£7,475","2011
•
70,000 miles
•
Diesel
•
Automatic"
1555,BMW 5 SERIES,"£7,375","2010
•
110,000 miles
•
Diesel
•
Automatic"
1556,BMW 1 SERIES,"£7,275","2011
•
60,000 miles
•
Diesel
•
Manual"
1557,BMW 1 SERIES,"£6,990","2011
•
54,000 miles
•
Diesel
•
Manual"
1558,BMW 3 SERIES,"£6,990","2011
•
80,000 miles
•
Diesel
•
Automatic"
1559,BMW 3 SERIES,"£6,790","2011
•
75,000 miles
•
Diesel
•
Manual"
1560,BMW 1 SERIES,"£6,790","2010
•
59,000 miles
•
Diesel
•
Manual"
1561,BMW 3 SERIES,"£6,675","2011
•
70,000 miles
•
Petrol
•
Manual"
1562,BMW X1,"£5,475","2010
•
110,000 miles
•
Diesel
•
Manual"
1563,BMW 1 SERIES,"£3,490","2008
•
114,000 miles
•
Petrol
•
Manual"
1564,Bmw 3 Series,"£11,691","2014
•
35,456 miles
•
Diesel
•
Manual"
1565,BMW 1 SERIES,"£4,895","2009
•
71,000 miles
•
Petrol
•
Manual"
1566,BMW M4,"£44,999","2018
•
19,600 miles
•
Petrol
•
Semi automatic"
1567,BMW 7 SERIES,"£31,999","2016
•
25,900 miles
•
Diesel
•
Automatic"
1568,BMW 1 SERIES,"£25,899","2018
•
30,302 miles
•
Petrol
•
Automatic"
1569,BMW 3 SERIES,"£12,999","2012
•
42,000 miles
•
Diesel
•
Manual"
1570,BMW 7 SERIES,"£49,990","2019
•
43,766 miles
•
Hybrid
•
Automatic"
1571,BMW X5,"£22,990","2014
•
85,017 miles
•
Diesel
•
Automatic"
1572,BMW 7 SERIES,"£22,490","2016
•
86,945 miles
•
Diesel
•
Automatic"
1573,BMW X5,"£21,990","2015
•
99,871 miles
•
Diesel
•
Automatic"
1574,BMW 5 SERIES,"£19,990","2017
•
90,818 miles
•
Diesel
•
Automatic"
1575,BMW 5 Series Gran Turismo,"£17,490","2015
•
92,848 miles
•
Diesel
•
Automatic"
1576,BMW 2 SERIES,"£15,990","2016
•
64,926 miles
•
Diesel
•
Automatic"
1577,BMW 2 Series Grand Tourer ,"£14,990","2016
•
59,231 miles
•
Diesel
•
Automatic"
1578,BMW 5 SERIES,"£12,990","2015
•
91,917 miles
•
Diesel
•
Automatic"
1579,BMW 3 SERIES,"£11,990","2016
•
96,175 miles
•
Petrol
•
Automatic"
1580,BMW X5,"£22,250","2014
•
100,000 miles
•
Diesel
•
Automatic"
1581,BMW 4 Series,"£16,795","2014
•
56,000 miles
•
Diesel
•
Automatic"
1582,BMW 4 SERIES,"£14,995","2015
•
46,460 miles
•
Petrol
•
Manual"
1583,BMW 5 SERIES,"£13,495","2014
•
69,875 miles
•
Diesel
•
Automatic"
1584,BMW M3,"£13,450","2005
•
120,000 miles
•
Petrol
•
Manual"
1585,BMW 3 SERIES,"£12,495","2015
•
22,451 miles
•
Petrol
•
Manual"
1586,BMW X3,"£11,495","2013
•
101,414 miles
•
Diesel
•
Automatic"
1587,BMW X1,"£11,495","2014
•
71,260 miles
•
Diesel
•
Automatic"
1588,BMW X5,"£11,450","2010
•
96,000 miles
•
Diesel
•
Automatic"
1589,BMW 2 Series Active Tourer,"£11,350","2016
•
92,000 miles
•
Diesel
•
Automatic"
1590,BMW 1 SERIES,"£9,995","2013
•
51,150 miles
•
Diesel
•
Manual"
1591,BMW X5,"£8,450","2007
•
94,000 miles
•
Diesel
•
Automatic"
1592,BMW X1,"£8,295","2013
•
45,350 miles
•
Diesel
•
Manual"
1593,BMW 3 SERIES,"£7,995","2013
•
115,232 miles
•
Diesel
•
Manual"
1594,BMW X1,"£7,495","2012
•
95,423 miles
•
Diesel
•
Automatic"
1595,BMW 3 SERIES,"£6,795","2013
•
102,902 miles
•
Diesel
•
Manual"
1596,BMW 5 SERIES,"£6,495
 was £6,795","2012
•
101,579 miles
•
Diesel
•
Manual"
1597,BMW 3 SERIES,"£2,995","2008
•
171,400 miles
•
Diesel
•
Automatic"
1598,BMW 1 Series,"£4,990","2011
•
114,000 miles
•
Diesel
•
Manual"
1599,BMW X5,"£4,690","2006
•
112,000 miles
•
Diesel
•
Automatic"
1600,BMW 1 Series,"£4,490","2011
•
103,000 miles
•
Diesel
•
Manual"
